"","interception","SR1","SR2","SR4","SR5","INF","WT","RT","r2"
"43",7.72498265401989,-2.36926249413335,-0.184943121302631,-2.93348416829962,-0.617956615793305,-4.37487265826911,0.877592845838523,-5.56600819728291,0.959750648640452
"44",8.2590691073369,-2.3196662539729,-0.185645065617258,-2.70930816790646,-0.565920951278091,-4.38072062588458,0.848822888241131,-5.61265385183323,0.956270758906495
"45",8.6999060779089,-2.27690406262899,-0.184939797554966,-2.56603616602819,-0.530114549171154,-4.40518191389397,0.811689008622416,-5.60229117249578,0.95427826315724
"46",9.33081930421352,-2.2567591277842,-0.18390742070427,-2.4826686840314,-0.510699705691737,-4.45268262073259,0.771051679071516,-5.53283918506637,0.953340268414217
"47",10.0905410217111,-2.2485441261178,-0.183613884253128,-2.42384733560488,-0.497373742256418,-4.51055653375049,0.735566631061611,-5.40489088842422,0.952537174975762
"48",11.1595832419325,-2.24535662605243,-0.184633332467198,-2.37751063280339,-0.486047628520235,-4.58209327890297,0.706601891536168,-5.24540375681756,0.951885300462268
"49",11.6362426435707,-2.24562083505537,-0.185908539426833,-2.33923784096676,-0.475725495539334,-4.66297117976551,0.688378749514009,-5.08159236236067,0.951526360755031
"50",11.5157226512832,-2.24359530109781,-0.186777400554927,-2.30445603806505,-0.465563237086705,-4.70919801169624,0.677884570359866,-4.91851714437504,0.951127824710678
"51",12.1985621224325,-2.23855316334448,-0.187011686131773,-2.27118904300022,-0.455798624378364,-4.73514825986011,0.672542079808059,-4.75890214802728,0.950708345996352
"52",12.6784757383155,-2.2318440394636,-0.18689775604025,-2.23931292196944,-0.446500355980388,-4.78628591642979,0.672597843218933,-4.60395886470544,0.950547693739383
"53",13.367120800831,-2.22656276056157,-0.186689429409026,-2.21367530252431,-0.439291111579558,-4.84782909671166,0.677729089054269,-4.45423988115441,0.950615182669324
"54",13.921885113071,-2.2334533660912,-0.186191656097818,-2.21756335783148,-0.445652160415201,-4.91822620783045,0.689116356012908,-4.30721455298089,0.951407351168177
"55",14.1539500712302,-2.2718288332285,-0.185469236276513,-2.21897928417708,-0.485484781682428,-4.98283425321778,0.708504699108868,-4.15902530698058,0.952675127389811
"56",14.1981307772171,-2.42562718046234,-0.18410205566136,-2.27142453874842,-0.650647019110743,-5.05215506676938,0.735054053290975,-3.99712242698096,0.956453345913334
"57",12.6213969225428,-2.45349071205013,-0.181384984832654,-2.32469640118956,-0.708609347626868,-5.04615796602728,0.724721404656106,-3.83792540454352,0.958906520599411
"58",12.714702342086,-2.38530423226443,-0.181129125581545,-2.35042068179959,-0.637475453282835,-5.04667679225349,0.759278359953228,-3.77902608665267,0.958524555967896
"59",11.7591320602677,-2.39238704818825,-0.179945625916952,-2.51938649988059,-0.644704322550417,-5.07556069495656,0.788155839933041,-3.83508413589094,0.960854492484191
"60",9.87353916592179,-2.41580739147878,-0.177492465268033,-2.77810477503977,-0.670932514119906,-5.01984800758764,0.810753348515359,-3.95421645924265,0.964038134591974
"61",9.38255245821046,-2.31449809413923,-0.180093128998487,-3.23409597544568,-0.656401518313454,-4.88281933739401,0.919598619212776,-4.14868373140604,0.965539951650881
"62",8.91305549440794,-2.35491143252781,-0.18170525164627,-3.19720504642315,-0.664478687076841,-4.71563631860652,0.919005524365377,-4.34532226061713,0.964844754821886
"63",10.1082196931322,-2.38984598407417,-0.180904166267425,-2.8897198434676,-0.644037721311878,-4.63954100035863,0.88500217474051,-4.58110200302596,0.96206177455425
"64",9.38733864276904,-2.36012813214211,-0.180442619541643,-2.65401306334544,-0.598894522276261,-4.67692292704346,0.868546359020651,-4.78353579737875,0.959466919860889
"65",9.86935618327789,-2.32614278442088,-0.179735344091643,-2.50231240814049,-0.561474688102483,-4.71546521293437,0.85749084785958,-4.87708600524846,0.957729200947211
"66",9.42540807454345,-2.29028080303353,-0.179079652955569,-2.38452215645233,-0.526601928690951,-4.76076289742237,0.845201622517826,-4.91001124548218,0.956313515262701
"67",8.90958482822577,-2.27087928865072,-0.17912493347133,-2.30386990532058,-0.501352293034901,-4.74195417050957,0.827255773212769,-4.89875270279772,0.954895889965291
"68",8.63048750528987,-2.25964657897224,-0.180300863478676,-2.23248441165034,-0.478713211930648,-4.68366854368331,0.810359218706554,-4.82728489380123,0.953097712955077
"69",8.49028592026828,-2.25050868899394,-0.181353495472222,-2.17735223982343,-0.460712791453485,-4.63406285959605,0.797138532666501,-4.70487045814461,0.951625039597726
